Police Command
Sas Eagle Team
Elite Force
Navy Sharks
Security Rangers
Crime Guardians
Justice Warriors
Law Enforcement
The Vanguards
Safety Crusaders
Defense Sentinels
Team Purpose
Saber Force
Eagle Eyes
Guardian Angels
Silent Assassins
Nocturnal Ninjas
Unseen Vigilantes
Masked Marines
Nightstalkers
Iron Legends
The Heat Wave
Steel Champions
Steel Fury
The Champions
Fire Storm Heroes
Earthquake Elite
Wind Force Titans
Armada Avengers
Lightning Punisher
Strike Punishers
Thunder Bolt
Volcanic Vendetta
The Volcanics
The Tsunamis
The Typhoons
Monsoon Mayhem
Monsoon Mortals
Monsoon Mayhem
Hurricane Horrors
Blizzard Bulldogs
Solar Showdown
Solar Superheroes
Aurora Annihilator
Cosmic Chargers
Phoenix Rangers
Moonbeam Guardians
Binary Butchers
Quantum Quicksand
Data Destroyers
The Centaurs
The Atomics
Virus Vikings
Bot Bandits
Robotic Rhinos
The Ravagers
Hacker Hammers
Byte Bears
High Octane
Team Otters
Giga Bears
Nebula Ninjas
YoGo Yetis
Pulp Fiction Squad
Reservoir Dogs
Downtown Chinatown
Raging Bulls
Silence Of The Dead
Team Star
Gangster Glory
Iron Impact
Killer Kidz
Magnum Madness
Pixel Pleasure
Team Xray
Able Company
StormStrikers
Sonic Doom
Broken Arrows
The Shadows
Wrecking Crew
Team Dragonfly
Team Whirlwind
Wacko Jackos
Washington Raiders
Washington Wizards
The Dreamers
Team Iceman
Icemen
The Jaguars
Lazy Lizards
The Madmen
The Marines
The spitfires
Dorchester Dukes
The Dukes
Fortuna 500s
The Knights
Team Knight
Command & Conquer
